file_path,file_hash,file_size,last_modi
S:\SandeepG\Official\DataScience\Data\duplicateFileFinder\source\FYUY8019.MP4,fb5d2d9b6806b132a13dd2a29d20f6df,12457350,20210209
S:\SandeepG\Official\DataScience\Data\duplicateFileFinder\source\mogra - 1 - 2 - Copy.jpg,be84ddeea613252f29ddac1758a649e8,6180,20210402
S:\SandeepG\Official\DataScience\Data\duplicateFileFinder\source\rose - Copy.jpg,742e5c0b00880f079d30d9e3e08fff67,7510,20210402
S:\SandeepG\Official\DataScience\Data\duplicateFileFinder\source\sunflower - 1.jpg,0aec550952805e4d25e109a67187d782,12753,20210402
S:\SandeepG\Official\DataScience\Data\duplicateFileFinder\source\folder 01\IMG_1066.MOV,d904188812d9983fc504e963e0d99abd,15710238,20200517
S:\SandeepG\Official\DataScience\Data\duplicateFileFinder\source\folder 01\my-directory-list.txt,not_an_image_or_video,0,20210402
S:\SandeepG\Official\DataScience\Data\duplicateFileFinder\source\folder 01\rose - Copy.jpg,742e5c0b00880f079d30d9e3e08fff67,7510,20210402
S:\SandeepG\Official\DataScience\Data\duplicateFileFinder\source\folder 01\sunflower - 1.jpg,0aec550952805e4d25e109a67187d782,12753,20210402
S:\SandeepG\Official\DataScience\Data\duplicateFileFinder\source\folder 02\my-directory-list.txt,not_an_image_or_video,0,20210402
S:\SandeepG\Official\DataScience\Data\duplicateFileFinder\source\folder 02\sunflower - 1.jpg,0aec550952805e4d25e109a67187d782,12753,20210402
S:\SandeepG\Official\DataScience\Data\duplicateFileFinder\source\logs\20210402_094653.log,not_an_image_or_video,0,20210402
S:\SandeepG\Official\DataScience\Data\duplicateFileFinder\source\logs\20210402_110513.log,not_an_image_or_video,2485,20210402
S:\SandeepG\Official\DataScience\Data\duplicateFileFinder\source\logs\20210402_115405.csv,not_an_image_or_video,0,20210402
S:\SandeepG\Official\DataScience\Data\duplicateFileFinder\source\logs\20210402_115925.csv,not_an_image_or_video,2347,20210402
S:\SandeepG\Official\DataScience\Data\duplicateFileFinder\source\logs\20210402_155152.csv,not_an_image_or_video,20,20210402
S:\SandeepG\Official\DataScience\Data\duplicateFileFinder\source\logs\20210402_155938.csv,not_an_image_or_video,2516,20210402
S:\SandeepG\Official\DataScience\Data\duplicateFileFinder\source\logs\20210402_161905.log,not_an_image_or_video,0,20210402
S:\SandeepG\Official\DataScience\Data\duplicateFileFinder\source\logs\20210403_140729.csv,not_an_image_or_video,2622,20210403
S:\SandeepG\Official\DataScience\Data\duplicateFileFinder\source\logs\20210405_213425.log,not_an_image_or_video,406,20210406
S:\SandeepG\Official\DataScience\Data\duplicateFileFinder\source\logs\20210405_213612.log,not_an_image_or_video,27,20210406
S:\SandeepG\Official\DataScience\Data\duplicateFileFinder\source\logs\20210405_213913.log,not_an_image_or_video,97,20210406
S:\SandeepG\Official\DataScience\Data\duplicateFileFinder\source\logs\20210405_214037.csv,not_an_image_or_video,3442,20210406
S:\SandeepG\Official\DataScience\Data\duplicateFileFinder\source\logs\20210405_214037.log,not_an_image_or_video,10961,20210406
S:\SandeepG\Official\DataScience\Data\duplicateFileFinder\source\logs\20210405_221251.csv,not_an_image_or_video,3121,20210406
S:\SandeepG\Official\DataScience\Data\duplicateFileFinder\source\logs\20210405_221251.log,not_an_image_or_video,4265,20210406
S:\SandeepG\Official\DataScience\Data\duplicateFileFinder\source\logs\20210406_183522.csv,not_an_image_or_video,3515,20210406
S:\SandeepG\Official\DataScience\Data\duplicateFileFinder\source\logs\20210406_183522.log,not_an_image_or_video,4304,20210406
S:\SandeepG\Official\DataScience\Data\duplicateFileFinder\source\logs\20210406_184213.csv,not_an_image_or_video,3628,20210406
S:\SandeepG\Official\DataScience\Data\duplicateFileFinder\source\logs\20210406_184331.csv,not_an_image_or_video,3230,20210406
S:\SandeepG\Official\DataScience\Data\duplicateFileFinder\source\logs\20210406_184443.csv,not_an_image_or_video,3343,20210406
S:\SandeepG\Official\DataScience\Data\duplicateFileFinder\source\logs\20210406_185310.csv,not_an_image_or_video,3678,20210406
S:\SandeepG\Official\DataScience\Data\duplicateFileFinder\source\logs\my-directory-list.txt,not_an_image_or_video,0,20210402
S:\SandeepG\Official\DataScience\Data\duplicateFileFinder\source\logs\protagonist.csv,not_an_image_or_video,126,20210402
S:\SandeepG\Official\DataScience\Data\duplicateFileFinder\source\logs\Test Cases.xlsx,not_an_image_or_video,9949,20210206
